experiment,position,frame,objects,median_area,fragments,merged,on_trap
2023-05-16_ageing_optoWhi3_PBmutants,0,0,141,202.0,0.2127659574468085,0.0,0.09219858156028368
2023-05-16_ageing_optoWhi3_PBmutants,0,85,147,288.0,0.20408163265306123,0.034013605442176874,0.11564625850340136
2023-05-16_ageing_optoWhi3_PBmutants,0,170,305,297.0,0.20655737704918034,0.26229508196721313,0.05573770491803279
2023-05-16_ageing_optoWhi3_PBmutants,0,255,2262,97.0,0.5937223695844386,0.017241379310344827,0.052608311229000886
2023-05-16_ageing_optoWhi3_PBmutants,1,0,141,205.0,0.1702127659574468,0.0,0.06382978723404255
2023-05-16_ageing_optoWhi3_PBmutants,1,85,169,337.0,0.10650887573964497,0.11242603550295859,0.011834319526627219
2023-05-16_ageing_optoWhi3_PBmutants,1,170,336,367.0,0.15178571428571427,0.24702380952380953,0.005952380952380952
2023-05-16_ageing_optoWhi3_PBmutants,1,255,2430,82.0,0.6613168724279835,0.00905349794238683,0.08683127572016461
2023-05-16_ageing_optoWhi3_PBmutants,15,0,56,220.5,0.17857142857142858,0.0,0.03571428571428571
2023-05-16_ageing_optoWhi3_PBmutants,15,88,49,481.0,0.04081632653061224,0.14285714285714285,0.02040816326530612
2023-05-16_ageing_optoWhi3_PBmutants,15,176,66,453.0,0.12121212121212122,0.3181818181818182,0.045454545454545456
2023-05-16_ageing_optoWhi3_PBmutants,15,265,470,182.0,0.37872340425531914,0.14042553191489363,0.014893617021276596
2023-05-16_ageing_optoWhi3_PBmutants,16,0,16,228.5,0.25,0.0625,0.1875
2023-05-16_ageing_optoWhi3_PBmutants,16,99,123,408.0,0.17073170731707318,0.2032520325203252,0.04878048780487805
2023-05-16_ageing_optoWhi3_PBmutants,16,199,151,532.0,0.12582781456953643,0.33774834437086093,0.013245033112582781
2023-05-16_ageing_optoWhi3_PBmutants,16,299,574,176.0,0.36585365853658536,0.13588850174216027,0.05574912891986063
2023-05-16_ageing_optoWhi3_PBmutants,30,0,126,228.5,0.1746031746031746,0.007936507936507936,0.1111111111111111
2023-05-16_ageing_optoWhi3_PBmutants,30,165,236,321.0,0.21610169491525424,0.2923728813559322,0.046610169491525424
2023-05-16_ageing_optoWhi3_PBmutants,30,331,2216,78.0,0.6376353790613718,0.00631768953068592,0.06633574007220217
2023-05-16_ageing_optoWhi3_PBmutants,30,497,807,41.0,0.7682775712515489,0.009913258983890954,0.07187112763320942
2023-05-16_ageing_optoWhi3_PBmutants,40,0,80,239.5,0.175,0.0,0.0875
2023-05-16_ageing_optoWhi3_PBmutants,40,175,112,458.5,0.13392857142857142,0.375,0.0625
2023-05-16_ageing_optoWhi3_PBmutants,40,351,2471,97.0,0.5835694050991501,0.013354917037636584,0.0679886685552408
2023-05-16_ageing_optoWhi3_PBmutants,40,527,18,46.5,0.7777777777777778,0.05555555555555555,0.0
2023-05-16_ageing_optoWhi3_PBmutants,41,0,71,237.0,0.2112676056338028,0.0,0.11267605633802817
2023-05-16_ageing_optoWhi3_PBmutants,41,170,201,382.0,0.15422885572139303,0.2935323383084577,0.05472636815920398
2023-05-16_ageing_optoWhi3_PBmutants,41,340,2315,66.0,0.7023758099352052,0.005183585313174946,0.12095032397408208
2023-05-16_ageing_optoWhi3_PBmutants,41,511,0,0.0,0.0,0.0,0.0
2023-05-16_ageing_optoWhi3_PBmutants,42,0,57,260.0,0.12280701754385964,0.0,0.12280701754385964
2023-05-16_ageing_optoWhi3_PBmutants,42,165,188,443.5,0.13297872340425532,0.23404255319148937,0.0425531914893617
